[10-Feb-2015 10:31:38 America/Sao_Paulo] PHP Fatal error:  Call to undefined method SubCategoria::getImagens() in /var/www/sistemas/siganet/medsy/admin/classes/commands/AdmSubCategoria.php on line 32
[25-Feb-2015 09:46:03 America/Sao_Paulo] PHP Fatal error:  Call to a member function getId() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 24
[25-Feb-2015 09:49:46 America/Sao_Paulo] PHP Fatal error:  Call to a member function getId() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 24
[25-Feb-2015 09:53:09 America/Sao_Paulo] PHP Fatal error:  Call to a member function getId() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 25
[25-Feb-2015 09:53:16 America/Sao_Paulo] PHP Fatal error:  Call to a member function getId() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 25
[25-Feb-2015 09:56:19 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 09:57:33 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 09:57:44 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 09:57:59 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 09:58:25 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 09:58:47 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 09:59:51 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:01:34 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:01:55 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:02:14 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:02:39 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:03:01 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:03:03 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:09:25 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:11:34 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:11:51 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:12:06 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:12:26 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:12:45 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:12:47 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:12:51 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 10:12:53 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:04:30 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:04:32 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:04:36 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:04:37 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:04:40 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:04:44 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:04:46 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:04:50 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:04:51 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:04:57 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:05:05 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:05:06 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:05:10 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:05:11 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:05:20 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:05:21 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:08:07 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:08:44 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 138
[25-Feb-2015 11:29:33 America/Sao_Paulo] PHP Fatal error:  Class 'ORM\Texto' not found in /var/www/sistemas/siganet/daniel/repretec/admin/classes/ORM/TextoORM.php on line 109
[25-Feb-2015 11:31:27 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:32:00 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Texto::setAtivo() in /var/www/sistemas/siganet/daniel/repretec/admin/classes/commands/AdmTexto.php on line 52
[25-Feb-2015 11:34:59 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:39:19 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:39:24 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Texto::setIdioma() in /var/www/sistemas/siganet/daniel/repretec/admin/classes/commands/AdmTexto.php on line 60
[25-Feb-2015 11:40:02 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Texto::getIdiomaObj() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 85
[25-Feb-2015 11:40:34 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Texto::getMenu() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 86
[25-Feb-2015 11:40:42 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:40:57 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:40:59 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:40:59 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:41:13 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:43:31 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:43:47 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:45:12 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:45:17 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:45:52 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:45:54 America/Sao_Paulo] PHP Fatal error:  Call to a member function getId() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/texto.php on line 58
[25-Feb-2015 11:46:22 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:48:37 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:49:09 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:50:04 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:50:19 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:50:35 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:51:28 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:51:52 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:52:04 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:53:24 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:53:43 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:54:31 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 11:54:34 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 13:45:05 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 13:49:30 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 13:49:34 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 13:49:39 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 13:49:44 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 13:49:48 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 13:49:51 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 13:49:54 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 13:49:59 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 13:50:20 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/pagina.php on line 146
[25-Feb-2015 14:02:18 America/Sao_Paulo] PHP Fatal error:  Class 'UploadImagem' not found in /var/www/sistemas/siganet/daniel/repretec/admin/classes/commands/AdmImagem.php on line 34
[25-Feb-2015 14:02:34 America/Sao_Paulo] PHP Fatal error:  Class 'UploadImagem' not found in /var/www/sistemas/siganet/daniel/repretec/admin/classes/commands/AdmImagem.php on line 34
[25-Feb-2015 14:06:09 America/Sao_Paulo] PHP Fatal error:  Access to undeclared static property: Config::$urlSite in /var/www/sistemas/siganet/daniel/repretec/admin/miniaturaImagem.php on line 18
[25-Feb-2015 14:06:46 America/Sao_Paulo] PHP Fatal error:  Access to undeclared static property: Config::$urlSite in /var/www/sistemas/siganet/daniel/repretec/admin/miniaturaImagem.php on line 18
[25-Feb-2015 14:06:51 America/Sao_Paulo] PHP Fatal error:  Access to undeclared static property: Config::$urlSite in /var/www/sistemas/siganet/daniel/repretec/admin/miniaturaImagem.php on line 18
[25-Feb-2015 14:06:51 America/Sao_Paulo] PHP Fatal error:  Access to undeclared static property: Config::$urlSite in /var/www/sistemas/siganet/daniel/repretec/admin/miniaturaImagem.php on line 18
[25-Feb-2015 17:36:09 America/Sao_Paulo] PHP Fatal error:  Call to a member function isLoad() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/texto.php on line 65
[25-Feb-2015 17:42:32 America/Sao_Paulo] PHP Warning:  explode() expects parameter 2 to be string, object given in /var/www/sistemas/siganet/daniel/repretec/admin/views/texto.php on line 76
[25-Feb-2015 17:42:32 America/Sao_Paulo] PHP Warning:  end() expects parameter 1 to be array, null given in /var/www/sistemas/siganet/daniel/repretec/admin/views/texto.php on line 76
[26-Feb-2015 09:22:48 America/Sao_Paulo] PHP Warning:  explode() expects parameter 2 to be string, object given in /var/www/sistemas/siganet/daniel/repretec/admin/views/texto.php on line 76
[26-Feb-2015 09:22:48 America/Sao_Paulo] PHP Warning:  end() expects parameter 1 to be array, null given in /var/www/sistemas/siganet/daniel/repretec/admin/views/texto.php on line 76
[26-Feb-2015 09:22:58 America/Sao_Paulo] PHP Warning:  explode() expects parameter 2 to be string, object given in /var/www/sistemas/siganet/daniel/repretec/admin/views/texto.php on line 76
[26-Feb-2015 09:22:58 America/Sao_Paulo] PHP Warning:  end() expects parameter 1 to be array, null given in /var/www/sistemas/siganet/daniel/repretec/admin/views/texto.php on line 76
[26-Feb-2015 10:20:24 America/Sao_Paulo] PHP Warning:  unlink(arquivo/uploads/tmp_PEDIDO 10(1).pdf): No such file or directory in /var/www/sistemas/siganet/daniel/repretec/admin/classes/Arquivo.php on line 34
[26-Feb-2015 11:43:31 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/produto.php on line 57
[26-Feb-2015 17:31:36 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Servico::getDestaque() in /var/www/sistemas/siganet/daniel/repretec/admin/views/servico.php on line 49
[26-Feb-2015 17:37:54 America/Sao_Paulo] PHP Fatal error:  Call to a member function getCatalogo() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/views/produto.php on line 99
[26-Feb-2015 17:51:25 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/servico.php on line 57
[27-Feb-2015 09:11:32 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/produto.php on line 227
[27-Feb-2015 09:11:32 America/Sao_Paulo] PHP Warning:  Invalid argument supplied for foreach() in /var/www/sistemas/siganet/daniel/repretec/admin/views/produto.php on line 296
[27-Feb-2015 10:28:30 America/Sao_Paulo] PHP Fatal error:  Call to a member function set() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/classes/Idioma.php on line 62
[27-Feb-2015 10:34:04 America/Sao_Paulo] PHP Fatal error:  Call to a member function set() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/classes/Idioma.php on line 62
[27-Feb-2015 10:38:03 America/Sao_Paulo] PHP Fatal error:  Class 'ORM\Pagina' not found in /var/www/sistemas/siganet/daniel/repretec/admin/classes/ORM/PaginaORM.php on line 174
[27-Feb-2015 10:38:44 America/Sao_Paulo] PHP Fatal error:  Class 'ORM\Pagina' not found in /var/www/sistemas/siganet/daniel/repretec/admin/classes/ORM/PaginaORM.php on line 174
[27-Feb-2015 10:38:46 America/Sao_Paulo] PHP Fatal error:  Class 'ORM\Pagina' not found in /var/www/sistemas/siganet/daniel/repretec/admin/classes/ORM/PaginaORM.php on line 174
[27-Feb-2015 10:42:48 America/Sao_Paulo] PHP Fatal error:  Class 'ORM\Produto' not found in /var/www/sistemas/siganet/daniel/repretec/admin/classes/ORM/ProdutoORM.php on line 198
[27-Feb-2015 11:38:13 America/Sao_Paulo] PHP Fatal error:  Class 'ORM\Servico' not found in /var/www/sistemas/siganet/daniel/repretec/admin/classes/ORM/ServicoORM.php on line 199
[27-Feb-2015 11:38:33 America/Sao_Paulo] PHP Fatal error:  Class 'ORM\Estrutura' not found in /var/www/sistemas/siganet/daniel/repretec/admin/classes/ORM/EstruturaORM.php on line 182
[27-Feb-2015 11:38:52 America/Sao_Paulo] PHP Fatal error:  Call to a member function get() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/classes/Idioma.php on line 92
[27-Feb-2015 11:49:07 America/Sao_Paulo] PHP Fatal error:  Call to a member function getPaginas() on a non-object in /var/www/sistemas/siganet/daniel/repretec/index.php on line 7
[27-Feb-2015 11:49:12 America/Sao_Paulo] PHP Fatal error:  Call to a member function getPaginas() on a non-object in /var/www/sistemas/siganet/daniel/repretec/index.php on line 7
[27-Feb-2015 11:49:13 America/Sao_Paulo] PHP Fatal error:  Call to a member function getPaginas() on a non-object in /var/www/sistemas/siganet/daniel/repretec/index.php on line 7
[27-Feb-2015 11:49:13 America/Sao_Paulo] PHP Fatal error:  Call to a member function getPaginas() on a non-object in /var/www/sistemas/siganet/daniel/repretec/index.php on line 7
[27-Feb-2015 11:49:13 America/Sao_Paulo] PHP Fatal error:  Call to a member function getPaginas() on a non-object in /var/www/sistemas/siganet/daniel/repretec/index.php on line 7
[27-Feb-2015 11:51:17 America/Sao_Paulo] PHP Fatal error:  Call to undefined method Idioma::getIdiomaAtual() in /var/www/sistemas/siganet/daniel/repretec/index.php on line 6
[27-Feb-2015 11:51:46 America/Sao_Paulo] PHP Fatal error:  Call to a member function isLoad() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/classes/Idioma.php on line 93
[27-Feb-2015 11:52:10 America/Sao_Paulo] PHP Fatal error:  Call to a member function isLoad() on a non-object in /var/www/sistemas/siganet/daniel/repretec/admin/classes/Idioma.php on line 93
[27-Feb-2015 11:52:37 America/Sao_Paulo] PHP Fatal error:  Call to a member function getPaginas() on a non-object in /var/www/sistemas/siganet/daniel/repretec/index.php on line 7
[27-Feb-2015 11:52:51 America/Sao_Paulo] PHP Fatal error:  Call to a member function getPaginas() on a non-object in /var/www/sistemas/siganet/daniel/repretec/index.php on line 7
[27-Feb-2015 14:37:07 America/Sao_Paulo] PHP Fatal error:  Call to a member function getPaginas() on a non-object in /var/www/sistemas/siganet/daniel/repretec/index.php on line 7
[27-Feb-2015 14:37:40 America/Sao_Paulo] PHP Fatal error:  Call to a member function getPaginas() on a non-object in /var/www/sistemas/siganet/daniel/repretec/index.php on line 7
[27-Feb-2015 14:47:09 America/Sao_Paulo] PHP Fatal error:  Uncaught exception 'Exception' with message 'Erro ao executar metodo getAll na objeto Produto' in /var/www/sistemas/siganet/daniel/repretec/admin/classes/ORM/ORM.php:290
Stack trace:
#0 /var/www/sistemas/siganet/daniel/repretec/admin/classes/Idioma.php(50): ORM\ORM->getAll('idioma='2' AND ...', Array, '*')
#1 /var/www/sistemas/siganet/daniel/repretec/index.php(9): Idioma->getProdutos(false, 'ativo='1' AND d...', Array)
#2 {main}
  thrown in /var/www/sistemas/siganet/daniel/repretec/admin/classes/ORM/ORM.php on line 290
[27-Feb-2015 15:45:28 America/Sao_Paulo] PHP Fatal error:  Call to a member function getNome() on a non-object in /var/www/sistemas/siganet/daniel/repretec/solucoes.php on line 126
[27-Feb-2015 16:21:51 America/Sao_Paulo] PHP Fatal error:  Call to a member function getNome() on a non-object in /var/www/sistemas/siganet/daniel/repretec/produtos.php on line 131
[27-Feb-2015 16:23:27 America/Sao_Paulo] PHP Fatal error:  Call to a member function getNome() on a non-object in /var/www/sistemas/siganet/daniel/repretec/produtos.php on line 131
[27-Feb-2015 16:37:07 America/Sao_Paulo] PHP Fatal error:  Call to a member function getNome() on a non-object in /var/www/sistemas/siganet/daniel/repretec/servicos.php on line 137
[27-Feb-2015 16:37:10 America/Sao_Paulo] PHP Fatal error:  Call to a member function getNome() on a non-object in /var/www/sistemas/siganet/daniel/repretec/servicos.php on line 137
[02-Mar-2015 08:41:41 America/Sao_Paulo] PHP Fatal error:  Class 'ORM\Certificacao' not found in /var/www/sistemas/siganet/daniel/repretec/admin/classes/ORM/CertificacaoORM.php on line 182
